method,k,workload,n,mean_tps,median_tps,mean_latency_s,median_latency_s,mean_output_tokens,mean_acceptance_rate,mean_rejection_rate,mean_entropy,total_draft_tokens,total_accepted_tokens,total_rejected_tokens,wasted_token_rate,accepted_token_rate,wasted_token_pct
eagle3,1,long_horizon_swe,50,180.083376397026,180.05285619555852,5.697354485103861,5.687219030922279,1024.0,0.05277819521100862,0.9472218047889913,0.24479571557849678,48624.0,2529.0,46095.0,0.9479886475814413,0.05201135241855873,94.79886475814413
eagle3,1,mathematical_reasoning,50,184.54604179881116,184.6632821632119,2.761195103954524,2.7726144066546112,507.42,0.09711935636404043,0.9028806436359595,0.23192480445474956,23108.0,2215.0,20893.0,0.9041457503894755,0.0958542496105245,90.41457503894755
eagle3,2,code_gen,50,168.10763035730935,169.20561414773871,3.125358333457261,3.025904468493536,512.0,0.03892061195151439,0.9610793880484856,0.183789431967197,47480.0,1813.0,45667.0,0.96181550126369,0.038184498736310024,96.181550126369
eagle3,2,conversational_generation_gen,50,168.63618972007058,168.78707096387114,3.0489260321110487,3.033408143557608,512.0,0.0290479957712879,0.970952004228712,0.3867327117476297,48330.0,1389.0,46941.0,0.971260086902545,0.028739913097454998,97.1260086902545
eagle3,2,conversational_generation_sft,50,167.27404943779086,168.24537592894086,3.072590723801404,3.0431785164400935,512.0,0.02803960498521442,0.9719603950147855,0.40363637776469746,48434.0,1336.0,47098.0,0.9724160713548334,0.02758392864516662,97.24160713548335
eagle3,2,hardware_gen,50,173.41423558746422,174.5202410314172,2.956676183110103,2.933757177554071,510.34,0.03835253307755586,0.9616474669224441,0.28130068459409857,47372.0,1783.0,45589.0,0.9623617326690872,0.03763826733091277,96.23617326690872
eagle3,2,long_chain_reasoning,50,188.78198619916006,171.20803913229,5.656244393950328,5.981028908863664,1024.0,0.0826552729303626,0.9173447270696374,0.2741221827263086,91362.0,5477.0,85885.0,0.9400516626168429,0.059948337383157115,94.0051662616843
eagle3,2,long_context_completion,50,167.02697910834516,163.7897966952894,10.870055874669925,12.305993230314925,1849.56,0.045664726352286696,0.9543352736477133,0.08553601177887511,171562.0,6650.0,164912.0,0.9612385026987328,0.038761497301267184,96.12385026987327
eagle3,2,long_horizon_swe,50,169.68736639399884,169.82582196930855,6.050375129794702,6.029707309789956,1024.0,0.02625796904233888,0.9737420309576611,0.25284571088688357,97270.0,2519.0,94751.0,0.9741030122339879,0.025896987766012132,97.41030122339879
eagle3,2,mathematical_reasoning,50,174.8065968955868,174.76021327322243,2.9228108351491393,2.9267267312388867,508.2,0.05535675346419994,0.9446432465358001,0.22128470259835178,45732.0,2495.0,43237.0,0.9454430158313654,0.05455698416863465,94.54430158313653
eagle3,4,code_gen,50,151.04889142070613,151.50086131432892,3.4070424587093293,3.379519949434325,512.0,0.019914560108777516,0.9800854398912224,0.18003762635784945,94816.0,1850.0,92966.0,0.9804885251434357,0.019511474856564293,98.04885251434357
eagle3,4,conversational_generation_gen,50,154.9643211163774,154.96219049140436,3.3183597493451087,3.3040387278888375,512.0,0.014590868344786748,0.9854091316552132,0.3869445918941897,96636.0,1395.0,95241.0,0.9855643859431268,0.014435614056873216,98.55643859431268
eagle3,4,conversational_generation_sft,50,154.36571593602037,154.23836815533772,3.325007202010602,3.3195474811363965,512.0,0.01446752349129957,0.9855324765087004,0.4019036657967447,96716.0,1374.0,95342.0,0.9857934571322222,0.014206542867777824,98.57934571322222
eagle3,4,hardware_gen,50,159.48991027166886,159.76024547151286,3.209993963642046,3.2048036605119705,510.34,0.019612105400845604,0.9803878945991543,0.28368669945047864,94592.0,1821.0,92771.0,0.980748900541272,0.01925109945872801,98.0748900541272
eagle3,4,long_chain_reasoning,50,172.9081090139186,157.12800023879862,6.1774824650399385,6.516982323490083,1024.0,0.041231024129505925,0.958768975870494,0.27531932674662896,182800.0,5457.0,177343.0,0.9701477024070022,0.02985229759299781,97.01477024070022
eagle3,4,long_context_completion,50,153.85283775776486,150.43997469729072,11.774098132234066,13.27996743004769,1849.56,0.02275129226244926,0.9772487077375507,0.08948550257265525,343224.0,6625.0,336599.0,0.9806977367550055,0.01930226324499452,98.06977367550054
eagle3,4,long_horizon_swe,50,155.57261213992632,156.04744748167485,6.589793860400095,6.562107067089528,1024.0,0.012999644730338877,0.987000355269661,0.25033364123802954,194624.0,2499.0,192125.0,0.987159856954949,0.01284014304505097,98.71598569549491
eagle3,4,mathematical_reasoning,50,155.53134921406712,154.52315221452324,3.290388066219166,3.3120084775146097,508.2,0.02795275113657592,0.9720472488634241,0.2287126108568412,91444.0,2500.0,88944.0,0.9726608634792878,0.02733913652071213,97.26608634792878
eagle3,8,code_gen,50,125.85351981244128,125.47588938631395,4.082300463486463,4.08047267398797,512.0,0.009506156576553439,0.9904938434234465,0.19349331812449463,190264.0,1769.0,188495.0,0.9907023924652062,0.00929760753479376,99.07023924652061
eagle3,8,conversational_generation_gen,50,117.80958141501637,118.22633299725206,4.355019996538759,4.33069017296657,512.0,0.007314233341436548,0.9926857666585635,0.38648344182979527,193240.0,1399.0,191841.0,0.9927602980749327,0.007239701925067274,99.27602980749327
eagle3,8,conversational_generation_sft,50,117.64563378083635,117.74576517637149,4.363619719529525,4.348351835971698,512.0,0.006963692590977082,0.9930363074090228,0.39070792695883705,193832.0,1326.0,192506.0,0.9931590243097115,0.006840975690288497,99.31590243097115
