pool,method,workload,n,mean_tps,median_tps,mean_wall_s,median_wall_s,mean_output_tokens,run_root,run_name,model_variant,candidate_set
slow_fast,ngram_sd,conversational_generation_sft_cap50,50,37.21640305240384,30.378175186819703,15.646164226531983,16.85521376132965,512.0,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_to_16,survival_utility_controller_v4_balanced__k1_to_16,survival_utility_controller_v4_balanced,k1_to_16
slow_fast,ngram_sd,hardware_gen,44,56.371060617139705,39.25605049763234,12.036206072027031,13.043065667152405,511.34090909090907,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_to_16,survival_utility_controller_v4_balanced__k1_to_16,survival_utility_controller_v4_balanced,k1_to_16
slow_fast,ngram_sd,long_chain_reasoning,50,74.51650518794803,39.2630670904464,22.41446646213532,26.08056366443634,1024.0,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_to_16,survival_utility_controller_v4_balanced__k1_to_16,survival_utility_controller_v4_balanced,k1_to_16
slow_fast,ngram_sd,long_context_completion,50,118.86752896401347,77.53483303458212,22.170740404129027,20.62672698497772,1829.92,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_to_16,survival_utility_controller_v4_balanced__k1_to_16,survival_utility_controller_v4_balanced,k1_to_16
slow_fast,ngram_sd,long_horizon_swe,50,87.56961218054727,64.96370805200579,17.33556601524353,15.766988396644592,1024.0,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_to_16,survival_utility_controller_v4_balanced__k1_to_16,survival_utility_controller_v4_balanced,k1_to_16
slow_fast,ngram_sd,mathematical_reasoning,50,37.44528069428173,34.711962402795336,14.359508681297305,14.70176362991333,510.84,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_to_16,survival_utility_controller_v4_balanced__k1_to_16,survival_utility_controller_v4_balanced,k1_to_16
slow_only,eagle3,code_gen,26,69.84397808608867,72.46880098745359,7.427367843114412,7.065136313438416,512.0,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_to_16,survival_utility_controller_v4_balanced__k1_to_16,survival_utility_controller_v4_balanced,k1_to_16
slow_only,eagle3,hardware_gen,6,61.11427639046078,58.02342660976159,8.480692982673645,8.83169412612915,512.0,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_to_16,survival_utility_controller_v4_balanced__k1_to_16,survival_utility_controller_v4_balanced,k1_to_16
slow_only,ngram_sd,code_gen,24,400.1645554212005,351.1106787652849,1.9593367874622345,1.4584274291992188,512.0,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_to_16,survival_utility_controller_v4_balanced__k1_to_16,survival_utility_controller_v4_balanced,k1_to_16
slow_only,ngram_sd,conversational_generation_gen_cap50,50,272.5179117912052,185.76077104345552,2.3887250232696533,2.756234169006348,512.0,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4_balanced__k1_to_16,survival_utility_controller_v4_balanced__k1_to_16,survival_utility_controller_v4_balanced,k1_to_16
