pool,n,mean_tps,median_tps,mean_wall_s,median_wall_s,mean_output_tokens,speedup_vs_slow_only_tps,latency_speedup_vs_slow_only,run_root,run_name,model_variant,candidate_set,slow_only_mean_tps,tps_ratio_vs_slow_only
slow_fast,400,63.99406990013906,38.3107858524353,16.238140818476676,15.68699336051941,804.5225,0.1613313954518742,0.1889428325476358,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_speed_lr3e4_rank3__k1_2_4_8_16,survival_utility_controller_v4b_rankgroup_speed_lr3e4_rank3__k1_2_4_8_16,survival_utility_controller_v4b_rankgroup_speed_lr3e4_rank3,k1_2_4_8_16,396.6622226312345,0.16133139545187422
slow_only,400,396.6622226312345,228.0121403157681,3.068080321550369,2.7046639919281006,804.5225,,,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_speed_lr3e4_rank3__k1_2_4_8_16,survival_utility_controller_v4b_rankgroup_speed_lr3e4_rank3__k1_2_4_8_16,survival_utility_controller_v4b_rankgroup_speed_lr3e4_rank3,k1_2_4_8_16,396.6622226312345,1.0
slow_fast,400,66.05137390798058,40.07714586630146,15.773689503073692,15.358003735542296,803.085,0.168664803825955,0.1965397182566997,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_speed_lr3e4_rank3__k1_to_16,survival_utility_controller_v4b_rankgroup_speed_lr3e4_rank3__k1_to_16,survival_utility_controller_v4b_rankgroup_speed_lr3e4_rank3,k1_to_16,391.6132613899631,0.16866480382595503
slow_only,400,391.6132613899631,227.23279655650688,3.100156490802765,2.7107568979263306,804.5225,,,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_speed_lr3e4_rank3__k1_to_16,survival_utility_controller_v4b_rankgroup_speed_lr3e4_rank3__k1_to_16,survival_utility_controller_v4b_rankgroup_speed_lr3e4_rank3,k1_to_16,391.6132613899631,1.0
slow_fast,400,62.37378132118585,46.56369175793378,14.307925503253935,13.556740164756777,804.5225,0.1576304466625981,0.214407582667644,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_speed_lr3e4_rank3__k2_4_6_8,survival_utility_controller_v4b_rankgroup_speed_lr3e4_rank3__k2_4_6_8,survival_utility_controller_v4b_rankgroup_speed_lr3e4_rank3,k2_4_6_8,395.6962797592937,0.15763044666259812
slow_only,400,395.6962797592937,226.9545817990982,3.067727720141411,2.706424593925476,804.5225,,,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_speed_lr3e4_rank3__k2_4_6_8,survival_utility_controller_v4b_rankgroup_speed_lr3e4_rank3__k2_4_6_8,survival_utility_controller_v4b_rankgroup_speed_lr3e4_rank3,k2_4_6_8,395.6962797592937,1.0
slow_fast,400,64.22735290595625,39.79057409901917,16.316870484352112,15.683199048042296,804.5225,0.1633374855987683,0.1885813660249382,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_speed_lr5e4_rank2__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4b_rankgroup_speed_lr5e4_rank2__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4b_rankgroup_speed_lr5e4_rank2,k1_2_4_6_8_10_12_14_16,393.2186948422119,0.1633374855987683
slow_only,400,393.2186948422119,228.80156588542303,3.0770577251911164,2.66840934753418,804.5225,,,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_speed_lr5e4_rank2__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4b_rankgroup_speed_lr5e4_rank2__k1_2_4_6_8_10_12_14_16,survival_utility_controller_v4b_rankgroup_speed_lr5e4_rank2,k1_2_4_6_8_10_12_14_16,393.2186948422119,1.0
slow_fast,400,61.66897753732653,37.308800210145165,16.80483015537262,16.2457515001297,804.5225,0.1589831422959076,0.1862479150992532,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_speed_lr5e4_rank2__k1_2_4_8_16,survival_utility_controller_v4b_rankgroup_speed_lr5e4_rank2__k1_2_4_8_16,survival_utility_controller_v4b_rankgroup_speed_lr5e4_rank2,k1_2_4_8_16,387.8963306848284,0.15898314229590768
slow_only,400,387.8963306848284,224.79711364731813,3.1298645800352096,2.7184447050094604,804.5225,,,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_speed_lr5e4_rank2__k1_2_4_8_16,survival_utility_controller_v4b_rankgroup_speed_lr5e4_rank2__k1_2_4_8_16,survival_utility_controller_v4b_rankgroup_speed_lr5e4_rank2,k1_2_4_8_16,387.8963306848284,1.0
slow_fast,400,56.91657194606722,34.69120890216814,18.118516340851784,17.115025877952576,803.085,0.1440715706214424,0.1694654492354247,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_speed_lr5e4_rank2__k1_to_16,survival_utility_controller_v4b_rankgroup_speed_lr5e4_rank2__k1_to_16,survival_utility_controller_v4b_rankgroup_speed_lr5e4_rank2,k1_to_16,395.0576210182318,0.1440715706214424
slow_only,400,395.0576210182318,229.8654153016987,3.070462511181832,2.6725964546203613,804.5225,,,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_speed_lr5e4_rank2__k1_to_16,survival_utility_controller_v4b_rankgroup_speed_lr5e4_rank2__k1_to_16,survival_utility_controller_v4b_rankgroup_speed_lr5e4_rank2,k1_to_16,395.0576210182318,1.0
slow_fast,400,66.15721151615749,49.24433068166738,13.707420490980148,12.700563430786133,804.5225,0.1666797428873526,0.2213689799247773,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_speed_lr5e4_rank2__k2_4_6_8,survival_utility_controller_v4b_rankgroup_speed_lr5e4_rank2__k2_4_6_8,survival_utility_controller_v4b_rankgroup_speed_lr5e4_rank2,k2_4_6_8,396.9121284334389,0.16667974288735266
slow_only,400,396.9121284334389,228.32714574846773,3.034397691488266,2.696446418762207,804.5225,,,results/apexp_block/config_large_500/evaluation/paper_cap50/apex_hot_runs/survival_utility_controller_v4b_rankgroup_speed_lr5e4_rank2__k2_4_6_8,survival_utility_controller_v4b_rankgroup_speed_lr5e4_rank2__k2_4_6_8,survival_utility_controller_v4b_rankgroup_speed_lr5e4_rank2,k2_4_6_8,396.9121284334389,1.0
